Recall Number,Recall Event ID,Device Type,Product Code,Regulation Description,Medical Specialty,Review Panel,Submission Type,Trade Name/Product,Main Name,Recall Class,Date Posted,Year Posted,Recalling Manufacturer,Reason for Recall,FDA Determined Cause,Action,Consumer Instructions,Clean Quantity,Quantity in Commerce,Distribution,Recall Status,Termination Date,Time to Terminate,Merged Quantities
Z-1761-2017,76648,No,JQP,Calculator/data processing module for clinical use.,Clinical Chemistry,Clinical Chemistry,510(K) Exempt,Specimen Gate Laboratory; Product Number: 5002-0180,N/A,N/A,"March 07, 2017", 2017,"PerkinElmer Life and Analytical Sciences, Wallac, OY",Potential for errors in patient results generated by the Specimen Gate Laboratory Software.,Software design,"PerkinElmer Life and Analytical Sciences sent an Urgent Medical Device Correction letter dated March 7, 2017, to all affected consignees.   The letter contains the following instructions: Until PerkinElmer's corrective measures are completed, we request our customers to close the Specimen Gate Laboratory Result Viewer between viewing and especially between manually calculating assay results. Closing and reopening the Result Viewer between processing the results from different assays effectively prevents the described issues from occurring. We also request our customers to follow unreported specimens with available tools to avoid any delay in reporting screening results. The available tools will vary depending on their process or the LIMS system that is used for activities associated with management of patient demographics, patient reports and the overall management of data generated from newborn screening testing. The final corrective action will involve an installation update to the software. PerkinElmer will deploy an installation update that will prevent the described issue when assays are calculated during the same Result Viewer session without closing it between the processing of different assays. Once the installation update is available, Software Services will contact you and arrange for the deployment. The installation update will be provided to you free of charge.Customers were instructed to complete the enclosed response form and return it by fax to 1-330-825-8520 (US) =358 2 2678 357 (OUS).For questions regarding this recall call 317-418-1735.",N/A,29,29,"Worldwide Distribution - US including AL, AZ, AR, CA, CO, CT, FL, GA, IL, IN, KS, KY, LA, MD, MI, MO, NV, OH, OK, OR, TN, TX, VA; and Internationally to Canada and Brazil","Open, Classified",N/A,N/A,29
Z-1454-2017,76587,No,LPH,Hip joint metal/polymer/metal semi-constrained porous-coated uncemented prosthesis.,Orthopedic,Orthopedic,510(k),"Bencox Mirabo PE Liner 36/44 Model Number: H1.L61.3644, UDI: 8806373852343",N/A,N/A,"February 27, 2017", 2017,"CORENTEC CO., LTD",Lot may contain the wrong instruction (Instruction for Chinese customer) instead of correct US instructions for use.,Other,"Corentec sent an Medical Device Recall letter dated February 23, 2017. The recalling firm notified the consignee via written notification by email and by phone.  The recalled products will be returned to the recalling firm. For further questions please call (512) 327-9997",N/A,5,5 ea,US Distribution to the state of : PA,Terminated,"May 11, 2017",73,5
Z-1495-2017,76442,No,LLZ,Picture archiving and communications system.,Radiology,Radiology,510(k),Orthosize Templating Version 1.2.6,N/A,N/A,"February 14, 2017", 2017,"Zimmer Biomet, Inc.",Digital templates were created with the incorrect files.,Software Manufacturing/Software Deployment,"On 2/14/2017 URGENT MEDICAL DEVICE CORRECTION notifications were sent to the affected users and 3rd party users via email.  The recall notification included a description of the reason for the recall, affected product, consignee responsibilities, and instructions for 3rd party users to respond to the formal recall notification.  Orthosize Templating UsersIn approximately 6 weeks you will receive a notice that an update is available for the Orthosize Templating App. Upon selecting the app you will be required to update the app in order to use it.1. Review this notification and ensure affected personnel are aware its contents.2. Immediately update the app when the update becomes available.3. If after reviewing this notice you have further questions or concerns please call 411 TechnicalServices at 574-371-3071 between 8:00 am and 5:00pm EST, Monday through Friday.Alternatively, yourquestions may be sent by email to corporatequality.postmarket@zimmerbiomet.comDigital Template Users (3rd party)1. Review this notification and ensure affected personnel are aware of the contents.2. Immediately update your systems to include the revised digital templates included with notice.3. Complete Attachment 1  Certificate of Acknowledgement.a. Return a digital copy to corporatequality.postmarket@zimmerbiomet.com.b. Retain a copy of the Acknowledgement Form with your records.4. If after reviewing this notice you have further questions or concerns please call 411 TechnicalServices at 574-371-3071 between 8:00 am and 5:00pm EST, Monday through Friday. Callsreceived outside of the call center operating hours will receive a prompt to record a voicemail orbe transferred to an on-call representative in the case of an emergency. Alternatively, yourquestions may be sent by email to corporatequality.postmarket@zimmerbiomet.com",N/A,3232,3232,"Worldwide distribution.  US Nationwide including Puerto Rico, Canada, Argentina, Australia, Austria, Belgium, Chile, China, Denmark, Finland, France, Germany, Greece, India, Italy, Japan, Korea, Lithuania, Malaysia, Mexico,  Netherlands, Nicaragua, Norway, Pakistan, Poland, Portugal, Romania, Singapore, South Africa, Spain, Sweden, Switzerland, Turkey, United Kingdom.","Open, Classified",N/A,N/A,3232
Z-1446-2017,76476,No,DQO,Diagnostic intravascular catheter.,Cardiovascular,Cardiovascular,510(k),LeMaitre Vascular Reddick Scoop Tip Cholangiogram Catheter (eIFU),N/A,N/A,"February 07, 2017", 2017,"LeMaitre Vascular, Inc.",The Contains Latex symbol was not printed onto the box label or the sterile (inner) product pouch,Labeling design,"LeMaitre Vascular, Inc. issued a Dear Doctor letter, on 2/7/17, to distributors and hospitals via FedEx overnight. The letter contains a form that is requested to be returned to LeMaitre Vascular, Inc. as a record of notification and reconciliation. Any unused product  requested to be returned and replaced.Questions concerning this notice contact  781-221-2266 ext. 183.",N/A,4673,4673,"Worldwide distribution.  US Nationwide, AUSTRIA, BELGIUM, FRANCE, GERMANY, ITALY, LUXEMBOURG, Morocco, Saudi Arabia, Singapore, SPAIN, SWITZERLAND, UAE, and UK","Open, Classified",N/A,N/A,21150
Z-1681-2017,76309,No,NFJ,Picture archiving and communications system.,Radiology,Ophthalmic,510(k),"Merge Eye Care Systems, consisting of Merge Eye Station, Merge Eye Care PACS, and Merge Eye Station Import Utility (ESIU).",N/A,N/A,"April 04, 2016", 2016,"Merge Healthcare, Inc.",The system will completely stop allowing the downloading or acquisition of new images due to incompatible software application versions.,Software Design Change,"The recalling firm issued a letter dated 3/28/2016 via e-mail the week of 4/4/2016.   If no email address was available, the letters were issued via certified mail.",N/A,1627,"1,627 sites potentially have the affected software","Distribution was made to medical facilities nationwide.  Government distribution was made.  Foreign distribution was made to Canada, as well as other countries.  There was no military distribution.","Open, Classified",N/A,N/A,1627
Z-1459-2017,76458,Yes,DTQ,Cardiopulmonary bypass heart-lung machine console.,Cardiovascular,Cardiovascular,510(k),Terumo Advanced Perfusion System 1-Level Sensor II Gel Pads,N/A,N/A,"February 20, 2017", 2017,Terumo Cardiovascular Systems Corporation,Terumo CVS initiated a voluntary recall for the Level Sensor II Pads and Level Sensor Gel Pads due to non-compliant labeling  because the product expiration date is displayed in a format that may not be recognizable to all users.,Under Investigation by firm,"Terumo CVS initiated a voluntary recall by issuing a safety advisory for their Terumo Advanced Perfusion System 1-Level Sensor II Pads, and Terumo Advanced Perfusion System 1-Level Sensor II Gel Pads due to non-compliant labeling because the product expiration date is displayed in a format that may not be recognizable to all users. Customers are asked to do the following: 1. Review the Safety Advisory.2. Assure that all users receive notice of this issue.3. Confirm receipt of this Safety Advisory by emailing or faxing the attached Customer Response Form to the email address or fax number indicated on the form.For questions contact Terumo CVS at 1-800-521-2818, Monday  Friday, 8 a.m.  6 p.m. ET. Any adverse events experienced with the use of this product, and/or quality problems should also be reported to the FDAs MedWatch Program:Phone: 1.800.FDA.1088 Fax: 1.800.FDA.0178, Web: www.fda.gov/medwatch/report.htm MedWatch Online Voluntary Reporting Form (mail to address on form): www.fda.gov/Safety/MedWatch/HowtoReport",N/A,3794,"3,794","Worldwide Distribution - US Nationwide in the states of: AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MT, NC, NE, NJ, NM, NV, NY, OH, OK, PA, SC, TN, TX, UT, VA, WA, WI, WV and the countries of: Mexico, AUSTRALIA, UNITED ARAB EMIRATES (UAE), Indonesia, Singapore, Taiwan, Thailand, COLOMBIA, CHILE, Vietnam, India, China, Malaysia, BELGIUM, Japan, CANADA",Terminated,"June 01, 2017",101,212354
Z-1468-2017,76615,No,OWB,Image-intensified fluoroscopic x-ray system.,Radiology,Radiology,510(k),Axiom Artis fluoroscopic x-ray system,N/A,N/A,"February 27, 2017", 2017,"Siemens Medical Solutions USA, Inc","A gap in the housing of the wireless foot switch could potentially result in liquids penetrating the interior. Such liquids may include disinfectants, cleaning agents and/ or bodily fluids. In rare cases, the introduction of liquids in the wireless foot switch housing could result in the failure of the foot switch.",Process control,"A Customer Safety Advisory Notice (CSAN) was mailed to affected customers on 02/27/2017 to inform them of the issue. The notice provided information on what actions to take should the foot switch fail to function, the risks involved and what corrective actions they are taking to fix the issue.",N/A,8297,"2,158 units distributed in US and 6,139 worldwide",Distributed Nationwide,"Open, Classified",N/A,N/A,8297
Z-1457-2017,76447,No,DQK,Programmable diagnostic computer.,Cardiovascular,Cardiovascular,510(k),Merge Hemo software.,N/A,N/A,"April 04, 2016", 2016,"Merge Healthcare, Inc.","In some instances, the system will lock tabs within a study, even when a second user does not have the study open on a different workstation.",Software design,"The recalling firm issued a letter dated March 28, 2016 via e-mail. If no email address was available, the letters were issued via certified mail. Non-responders were issued letters on July 11, 2016.  The letter identified the affected product, problem and actions to be taken. For question send an email to recall@merge.com.",N/A,361,361 sites potentially have the affected versions,US Nationwide Distribution.,"Open, Classified",N/A,N/A,361
Z-1460-2017,76429,Yes,CBK,Continuous ventilator.,Anesthesiology,Anesthesiology,510(k),"Arkon Anesthesia Delivery System, Model 99999.",N/A,N/A,"February 08, 2017", 2017,"Del Mar Reynolds Medical, Ltd.","Spacelabs has received reports of the Arkon Anesthesia Delivery System, Model 99999, shutting down without warning. The power supply has failed in a way that does not trigger the normal on battery alarms.",Software design,"On 08 February 2017, a customer letter will be sent via priority service, return receipt requested, to all U.S. customers. Records of notification will be maintained to ensure complete notification.On 15 February 2017, a customer letter (translated as necessary) will be emailed to all international subsidiaries and distributors of record. Records of notification will be maintained to ensure complete notification.Upgrade is expected to be available in April 2017; all affected Arkon Anesthesia Delivery Systems will receive a software upgrade onsite.",N/A,450,325 devices sold to 35 US consignees and 76 devices sold to 14 international consignees,"Worldwide Distribution - US nationwide and internationally in the following countries: BOLIVIA, CANADA, CHINA, ECUADOR, FRANCE, IRELAND, MALAYSIA, MEXICO, MOROCCO, NETHERLANDS, PANAMA, PERU, POLAND, UNITED KINGDOM.","Open, Classified",N/A,N/A,450
Z-1463-2017,76339,No,CHL,"Blood gases (PCO2, PO2) and blood pH test system.",Clinical Chemistry,Clinical Chemistry,510(k),The ABL800 Model#:All,N/A,N/A,"January 26, 2017", 2017,Radiometer America Inc,"Reports that the sample type ""cord blood"" has been changed into the two sample types ""cord blood arterial"" and ""cord blood venous.",Device Design,"Customer notification letters were sent 01/27/16.  The letter provided the following instructions:The firm recommends that customers ensure that operators and clinicians using the ""cord blood sample results from a HIS/LIS or a middleware system to determine treatment are made aware that arterial or venous is not transmitted.An upgraded version of the ABL90 and ABL800 series software will ensure that the full sample type cord blood arterial and cord blood venous will be transmitted to the HIS/LIS or middleware system. The new software version will be installed by local engineer when available.If not the end user customers are instruction to provide a copy of the recall notification letter to the end user.Any questions regarding this letter contact Radiometer America Technical Support at 1-800-736-0600 opt.1.",N/A,17522,"17,522","U.S. distribution to the following; nationwide.Foreign distribution to the following; Netherlands, China, Czech Republic, Denmark, Germany, Spain, France, Hungary, India, Japan, Poland, South Africa, Singapore, Switzerland, Turkey, Norway, Austria, Italy, Sweden, Finland.","Open, Classified",N/A,N/A,27210
Z-1456-2017,76326,No,GEI,Electrosurgical cutting and coagulation device and accessories.,General &amp; Plastic Surgery,General &amp; Plastic Surgery,510(k),VASOVIEW HEMOPRO VH-3500,N/A,N/A,"January 27, 2017", 2017,"Maquet Cardiovascular, LLC",Maquet has received several complaints involving the VASOVIEW HEMOPRO VH-3500 which involve the device exhibiting the failure mode of intermittent or no power.,Under Investigation by firm,"Maquet Inc. issued an Urgent Removal Correction Notice letter dated  January 27, 2017 to affected customers.  The letter identified the affected product, problem and actions to be taken.  Customers were instructed to check inventory for affected device.  Remove and keep it in a secure location to preclude being used.  Customers were asked to complete the Medical Device Removal Response Form and return to Maquet by e-mailing a scanned copy to HemoproPower@getinge.com or by faxing the form to 1-973-629-1518.",N/A,4283,4283  units,US Nationwide Distribution,"Open, Classified",N/A,N/A,4283
Z-1398-2017,76175,No,JAA,Image-intensified fluoroscopic x-ray system.,Radiology,Radiology,510(k),Toshiba Ultimax DREX-ULT80 X-ray generator,N/A,N/A,"May 19, 2016", 2016,Toshiba American Medical Systems Inc,It was discovered that the generator of the system could possibly terminate the exposure prematurely during an examination,Radiation Control for Health and Safety Act,"Toshiba America Medical Systems planned action to bring defect into compliance :1. A notification letter will be sent to customers with affected systems. This letter includes the statement that the repairs will be made at no cost to the customer.2.   Modified firmware will be installed on the systems to prevent the defect from recurring.3.   The consignees will be contacted by a Toshiba service representative for an appointment when the modified firmware becomes available4.   The consignee will be informed that if this problem occurs before the new firmware is installed; they should reset the x-ray generator to complete the exam; and5.   The CAP will be completed by May 1, 2017.  For further questions please call (714) 730-5000",N/A,254,254,"USA ( nationwide ) Distribution to the states of : WA, OR, CA, OH, IL, CT, IA, KY, AL, LA, HI, PA, NJ, DE, MN, DC, NY, MI, SC, MD, TN, OK, WI, UT, ID, NV, TX, AL, IN, WV, KS, MO, CO, MT, MS, NC, GA, NH,UT, FL, AZ and ND.","Open, Classified",N/A,N/A,254
Z-1465-2017,76433,Yes,JOH,Tracheostomy tube and tube cuff.,Anesthesiology,Anesthesiology,510(k),"BivonaÂż TTS (Tight to Shaft) Pediatric Tracheostomy Tube, Model No. 67SP035, Reorder No. 67SP035.",N/A,N/A,"February 09, 2017", 2017,Smiths Medical ASD Inc.,Smiths Medical became aware that one lot of  the BivonaÂż 3.5mm TTS Cuffed Pediatric tracheostomy tubes was incorrectly labeled for neonatal use instead of correctly labeled for pediatric use.,Labeling False and Misleading,"Consignees were sent a Smiths Medical ""Urgent Medical Device Field Safety Notice"" dated February 08, 2017.  The letter was addressed to ""Clinician"". The letter listed the Affected devices, Reason for Recall, Risk to Health, and Instructions to Customers.  Advised customers to complete and return the ""Urgent Medical Device Field Safety Notice (FSN) Response Form"" to smithsmedical4390@stericycle.com.  All affected devices must be returned to Stericycle for processing. If the product was further distributed, consignees were asked to immediately notify them of the Recall and retrieve all affected devices.  For questions contact Stericycle via e-mail at the following address: smithsmedical4390@stericycle.com.",N/A,142,142,"US: CA, ILM NC, GA, NE, MA, CO, CT, MO, TN, LA, MD, MN, FL, SC,M OK, MI, PA, TX, WA, WI.","Open, Classified",N/A,N/A,142
Z-1712-2017,76695,No,JIS,Calibrator.,Clinical Chemistry,Clinical Chemistry,510(K) Exempt,"ADVIA Chemistry Enzyme 2 Calibrator, multi-analyte mixture",N/A,N/A,"February 23, 2017", 2017,"Siemens Healthcare Diagnostics, Inc.",Siemens Healthcare Diagnostics has confirmed a positive bias of up to 41% in quality control and patient results for Aspartate Aminotransferase (AST) and Aspartate Aminotransferase concentrated (AST_c) assays following calibration with Advia Chemistry Enzyme 2 Calibrator lots 6JD079 and 6MD042.,Under Investigation by firm,"Siemens mailed an Urgent Medical Device Correction Notice to affected customers on 02/21/2017. The notice informed calibrator customers of the reason for the correction, risk to health, and actions to be taken by customers who are in the process of converting from the fixed factor to the enzyme calibrated assay and information for customers who had already converted, until the investigation is complete.",N/A,314,314 calibrators,Worldwide Distribution - United States Nationwide:DenmarkSwedenNorwayGreat BritainBelgiumNetherlandsSpainIsraelSwitzerlandFrancePortugalGreeceGermanySloveniaCzech RepublicHong Kong                  Colombia                 Korea                        Australia,"Open, Classified",N/A,N/A,314
Z-1477-2017,76358,No,GEH,Cryosurgical unit and accessories.,General &amp; Plastic Surgery,General &amp; Plastic Surgery,510(k),C2 CryoBalloon Ablation System - Controller Cap.,N/A,N/A,"January 06, 2017", 2017,"C2 Therapeutics, Inc.",The Controller Cap of the C2 CyroBalloon Ablation System may crack as it is tightened onto the controller.  That could compromise the integrity and result in damage to the Controller Cap.,Under Investigation by firm,"Firm initially notified consignees who would be using the device in an upcoming procedure on January 6, 2017 to alert them of the potential issue and recommended that products with the affected cap not be used unless it can be checked by a C2 rep. Controller caps will be replaced within a few weeks; facilities will receive replacement caps by mail along with a shipping inventory label for return of those currently on hand. Formal recall letters were sent on January 19, 2017. Letters were sent by e-mail with receipt and read confirmation and follow up by phone call.",N/A,755,755 controller caps,"Worldwide Distribution - US Nationwide and the countries of Germany, Belgium, The Netherlands  United Kingdom and China.","Open, Classified",N/A,N/A,755
Z-1543-2017,76593,No,MIH,N/A,N/A,Cardiovascular,PMA,Endurant / Endurant II 23mm and 25mm Bifurcated Stent Graft Systems,N/A,N/A,"February 27, 2017", 2017,"Medtronic Vascular, Inc.",Medtronic is initiating a voluntary Urgent Medical Device Recall for a subset of Endurant/ Endurant IIBifurcated Stent Graft Systems of specific models and serial numbers as this specific subset of stent grafts has greater susceptibility to fabric permeability variations that may be associated with endoleaks observed during the initial implant procedure.,Packaging change control,"Medtronic sent an Urgent Medical Device Recall letter dated March 2017, to all affected customers. The letter identified the product the problem and the action needed to be taken by the customer.Our records indicate that your facility has received a potentially affected Endurant /Endurant II 23mm and / or 25mm Bifurcated Stent Graft System from the identified subset.  As a result, Medtronic is asking that you take the following actions:Identify and quarantine unused Endurant /Endurant II 23mm and 25mm Bifurcated Stent Graft System from the identified subset of models and serial numbers  that are in your inventory .Return unused products from the attached model and serial number list that are in your inventory to Medtronic by contacting Customer Service at 1-800-854-3570 (#4) and referencing this communication to initiate a return and credit of unused product. Your Medtronic sales representative can assist you in the return of this product as necessary.Complete the attached Customer Confirmation Certificate and email it to RS.CFQFCA@Medtronic.com or fax it to Medtronic at 651-367-0612 to the attention of Customer Focused Quality.For further questions please call Customer Service at  1 (800) 633-8766.",N/A,3331,3331 devices,Worldwide Distribution - US Distribution including Puerto Rico and to the countries of :ArgentinaArmeniaAustraliaAustriaBelgiumBrazilBulgariaCanadaChinaColombiaCosta RicaCroatiaCyprusCzech RepublicDenmarkDominican RepublicEcuadorEgyptEl SalvadorFinlandFranceFrench PolynesiaGermanyGreeceHong KongHungaryIcelandIndiaIndonesiaIranIrelandIsraelItalyJapanJordanKazakhstanKoreaKuwaitLatviaLebanonLithuaniaLuxembourgMalaysiaMexicoMontenegroNetherlandsNew ZealandNorwayOmanPanamaParaguayPeruPhilippinesPolandPortugalReunionRomaniaRussian FederationSaudi ArabiaSerbiaSingaporeSlovakiaSloveniaSouth AfricaSpainSri LankaSwedenSwitzerlandTaiwanThailandTurkeyUnited Arab EmiratesUnited KingdomUruguayVenezuelaViet Nam,"Open, Classified",N/A,N/A,3331
Z-1710-2017,76688,No,JJE,Discrete photometric chemistry analyzer for clinical use.,Clinical Chemistry,Clinical Chemistry,510(K) Exempt,"Access 2 assay Immunoassay System, Remanufactured, Part No. 386220",N/A,N/A,"March 07, 2017", 2017,Beckman Coulter Inc.,Beckman Coulter is recalling the Access 2 Family of Immunoassay Systems because a circuit board that controls motor functions can affect device positioning on the pipettor and incubator belt while the instrument is running. The position errors cause the instrument to stop running and cancel tests that are in process.,Software Design Change,"An Urgent Medical Device Recall letter was sent on 3/7/17 to inform customers that Beckman Coulter has determined through internal investigation that a circuit board that controls motor functions in the instrument systems listed above can affect device positioning on the pipettor and incubator belt while the instrument is running.  Customers are informed of the impact, action to be taken, and the resolution.  Customers are instructed to complete and return the enclosed Response Form within 10 days.  Customers with any questions are instructed to contact Customer Technical SupportCenter:Âż From our website: http://www.beckmancoulter.comÂż By phone: call 1-800-854-3633 in the United States and Canada.Âż Outside the United States and Canada, contact your local Beckman Coulterrepresentative.",N/A,851,851 units total for all products (291 units in US),"Affected geographies: Algeria, Austria, Australia, Bangladesh, Bulgaria, Brazil, Canada, China, Costa Rica, Cyprus, Colombia, Czech Republic, El Salvador, France, Germany, Ghana, Greece, Guatemala, India, Indonesia, Italy, Japan, Jordan, Kazakhstan, Kenya, Lebanon, Lithuania, Malawi, Mexico, Morocco, Myanmar, Nepal, Oman, Panama, Philippines, Pakistan, Paraguay, Poland, Puerto Rico, Romania, Russian Federation, Saudi Arabia, Serbia, South Africa, South Korea, Spain, Switzerland, Tunisia, Turkey, United Kingdom, United States, Vietnam, Zimbabwe","Open, Classified",N/A,N/A,851
Z-1483-2017,76562,No,LXH,Orthopedic manual surgical instrument.,Orthopedic,Orthopedic,510(K) Exempt,".045 X 6 ST Guide Wire, Part number 45-0029-S, Sterile 10 pack of WS-1106ST and has a 6 inch length and 0.045 inch diameter.",N/A,N/A,"February 17, 2017", 2017,Acumed LLC,"Guide wires sized as .045 X 6 were mis-packaged as .054 X 7 guide wires and those sized as .054 X 7 were mis- packaged as .045 X 6 guide wires.  There is a possibility that using the incorrect guide wire size can cause health hazards, such as mal or nonunion, need for revision surgery, and histological response (if wire breaks).",Process control,"Acumed sent an Urgent Medical Device Recall letter dated 02/16/2017, to all affected customers on 02/17/2017.Consignees were instructed to follow special instructions and send survey to RecallNotification@acumed.net. Domestic customers with questions or need to return products to Acumed, please contact Acumed Agent Inventory via email AgentInventory@acumed.net to obtain a Return Material Authorization (RMA) number or contact your agent directly. International customers with questions or need to return products to Acumed, please contact Acumed Business Service via email at BusinessServices@acumed.net or call to obtain a Return Material Authorization (RMA) number. Customers with questions about recall can call 877-627-9957, choose Option 4 (US and Canada), or call 001-503-627-9957, choose option 4 (outside of US and Canada).",N/A,1.08,24 units of .045 X 6 ST Guide Wire and 25 units of .054 X 7 ST Guide Wire,"Worldwide Distribution in Great Britain, Ireland, and Japan only.",Terminated,"May 19, 2017",91,1.08
Z-1478-2017,76638,No,NPK,Bone grafting material.,Dental,Dental,510(k),"Inion GRT Tack, drill  bit and tack appl., 4x, Sterile.",N/A,N/A,"March 01, 2017", 2017,Inion Ltd.,Aluminum pouch seal was noticed to be defective (slightly open).,Other,"Inion sent an Urgent: Medical Device Recall Notification letter dated March 1, 2017. The recall letter asked customers to inspect the aluminum pouch seals, remove any devices with defective seals from sales stock, and to return the product to  Inion.  The customers were also asked to inform Inion Oy of the outcome of their inspections using a feedback form. For further questions call (954) 659-9224.",N/A,36,36 pieces,US Distribution to : FL and NC.,"Open, Classified",N/A,N/A,36
Z-1480-2017,76483,No,KPS,Emission computed tomography system.,Radiology,Radiology,510(k),"882480: BrightView designed for single or dual detector nuclear imaging accommodating a range of ECT studies. In addition it can be used to perform planar static, dynamic, gated, total body, circular-orbit and noncircular orbit SPECT, gated SPECT (circular and noncircular)studies, computer-programmed protocol strings, and reference scans (dual detectors).",N/A,N/A,"January 31, 2017", 2017,Philips Medical Systems (Cleveland) Inc,Four issues: 1. Motion controller problem stops scan and no data image produced. 2. Door interlock switch problem disables CT scan. 3. Detector contacts head holder when performing Patient Unload. 4. JETStream freezes during gated planar scan,Software design,"Consignees received a customer information letter via certified mail, 1/31/2017. International consignees were notified by Philips Healthcare Global Market representatives.  Field Service Engineers are contacting consignees to conduct appropriate corrections. Non-responders will be contacted multiple times.",N/A,1218,1218 total,"Worldwide distribution.  US nationwide,   ALGERIA, ARGENTINA, ARMENIA, AUSTRALIA, AUSTRIA, BAHRAIN, BELGIUM, BRAZIL, CANADA, CAYMEN ISLANDS, CHILE, CHINA, CZECH REPUBLIC, DENMARK, DOMINICAN REPUBLIC, EGYPT, FINLAND, FRANCE, GABON, GERMANY, GREAT BRITAIN, GREECE, INDIA, INDONESIA, IRAN, IRELAND, ISRAEL, ITALY, JAPAN, KOREA, LEBANON, LITHUANIA, MALAYSIA, MEXICO, NETHERLANDS, NEW ZEALAND, NORWAY, OMAN, PALESTINE, PANAMA, PERU, PHILIPPINES, POLAND, PORTUGAL, RUSSIAN FEDERATION, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN,  SWITZERLAND, SYRIAN ARAB REPUBLIC, TAIWAN, THAILAND, TURKEY, UKRAINE, UNITED ARAB EMIRATES, UNITED KINGDOM, &amp; VIETNAM.","Open, Classified",N/A,N/A,1218
Z-1484-2017,76607,No,FPA,Intravascular administration set.,General Hospital,General Hospital,510(k),"AMS-636, 60"" Microbore extension set.",N/A,N/A,"February 20, 2017", 2017,"Vygon MFG, Inc., dba/ Churchill Medical Systems, Inc.",Incorrect priming volume printed on the device package.,Error in labeling,"Recall letters were sent to the customer via email and fax on 2/20/2017.  They were asked to take the following actions: The recall will be conducted at no cost to you. To effect return of the recalled product and replacementwith new inventory, we request your cooperation in the following steps:1. Check your stock for the products included within the scope of the recall. Immediately cease use and distribution, and quarantine all affected product immediately; 2. Count and document your affected inventory on the ""Recall Acknowledgement and Inventory Return Form; 3. Fax or email the form to Vygon including customer contact information; 4. Vygon customer service will contact the customer and issue a Return Merchandise Authorization number; 5. Return the product as well as the original signed Recall Acknowledgement and InventoryReturn Form using the instructions from Customer Service involving product pick-up; 6. All inventory will be credited or replaced at no cost to you. If you have questions, please contact your local sales representative or Vygon's Customer Service Department at 1-800-4 73-5414, or by e-mail at  customerservice@vygonus.com.",N/A,30700,"30,700","US Nationwide Distribution in the states of NJ, TX, VA, FL, VA, MA, IL, MI, NY, OH, WA, PA, WV","Open, Classified",N/A,N/A,30700
Z-1713-2017,76675,general purpose reagent,PPM,General purpose reagent.,Pathology,Pathology,510(K) Exempt,"NucliSENS Lysis Buffer, REF 200292",N/A,N/A,"March 07, 2017", 2017,BioMerieux SA,Problem with colored eluates for whole blood extractions,Under Investigation by firm,"BioMerieux sent an Urgent Product Safety Correction Notice to all affected customers electronically on March 7, 2017.  US customers will be sent a separate letter.  The letter requested that they discard the product and notify all customers that use the product.  The notification included a reply form to be returned.  Customers with questions were instructed to contact their local bioMerieux Customer Service representative.  For questions regarding this recall call 314-731-7301.",N/A,1025,1025,"Worldwide Distribution - US including IL, OH, WA, and Internationally to Argentina, Australia, Brazil, Chile, Columbia,  France, Hong Kong, Italy, Netherlands, Peru,  Spain, Uganda, United Kingdom, and Zimbabwe.","Open, Classified",N/A,N/A,1025
Z-1486-2017,76431,No,LLZ,Picture archiving and communications system.,Radiology,Radiology,510(k),Merge Cardio software.,N/A,N/A,"April 04, 2016", 2016,"Merge Healthcare, Inc.",Cardio study list does not show STAT studies without refreshing.,Software design,"The recalling firm issued a letter dated 3/28/2016 via e-mail the week of 4/4/2016.   If no email address was available, the letters were issued via certified mail.  Nonresponders were issued letters dated 7/11/2016.",N/A,217,217 sites potentially have the affected versions,Distribution was nationwide to medical facilities.  There was also military distribution.  There was no foreign/government distribution.,"Open, Classified",N/A,N/A,217
Z-1534-2017,76713,No,OWB,Image-intensified fluoroscopic x-ray system.,Radiology,Radiology,510(k),"ARTIS Q, Interventional Fluroscopic x-ray system",N/A,N/A,"February 22, 2017", 2017,"Siemens Medical Solutions USA, Inc","In Artis systems with A100G generators, a component can be affected by aging which could result in the potential failure of a module in the high-voltage generator.",Other,"A Customer Safety Advisory Notice (CSAN) was mailed on 02/22/2017 to customers affected by the issue on 02/22/2017 to inform them of the corrective action they plan to perform to prevent a possible hazard to persons and equipment.  The notice explained the underlying issue, the impact on system operation and the potential risk to patients.  It also informed users of the actions being taken and how they will be implemented.",N/A,264,264 distributed worldwide (112 in the U.S.),Distributed throughout the United States.,"Open, Classified",N/A,N/A,264
